,0,1,2,3
102,UDMUND,"椅子, 褐色/viarp 米黃色/褐色",$599,0 (0)
103,ODGER,"椅子, 炭黑色",$799,0 (0)
104,EKEDALEN,"椅子, 白色/orrsta 淺灰色",$495,0 (0)
105,VEDBO,"椅子, 黑色/gunnared 深灰色","$1,390",0 (0)
106,TOSSBERG,"椅子, 金屬 黑色/灰色","$1,490",0 (0)
107,BERGMUND,"椅子, 橡木/fågelfors 彩色",$698,0 (0)
108,BERGMUND,"椅子, 黑色/gunnared 暗灰色",$599,0 (0)
109,VOLFGANG,"椅子, 鍍鉻/bomstad 黑色",$899,0 (0)
110,BALTSAR,"椅子, 藍黑色/褐色","$1,690",0 (0)
111,BERNHARD,"椅子, 鍍鉻/mjuk 深褐色","$1,290",0 (0)
112,BERGMUND,"椅子, 黑色/orrsta 淺灰色",$599,0 (0)
113,TORPARÖ,"椅子，室內/戶外用, 可摺合 白色/米黃色",$149,0 (0)
114,AGEN,"椅子, 藤/竹",$299.9,0 (0)
115,IDOLF,"椅子, 黑色",$459,0 (0)
116,NORNA/NILSOVE,"椅子連椅墊, 藤 白色/laila 米色","$1,089",0 (0)
117,BERGMUND,"椅子, 橡木/orrsta 淺灰色",$698,0 (0)
118,BERGMUND,"椅子, 黑色/glose 黑色","$1,290",0 (0)
119,IDOLF,"椅子, 白色",$459,0 (0)
120,KARLJAN,"椅子, 深灰色/kabusa 深灰色",$349,4(2)
121,ODGER,"椅子, 綠色",$799,0 (0)
122,UTESPELARE/MATCHSPEL,"電競檯，椅子及抽屜, 淺灰色/白色","$3,109",0 (0)
123,BERGMUND,"椅子, 橡木/kvillsfors 深藍色/藍色",$698,0 (0)
124,TOBIAS,"椅子, 灰色/鍍鉻",$799,0 (0)
125,LEIFARNE,"椅子, 淺橄欖綠色/ernfrid 樺木",$500,4(1)
126,EKEDALEN,"椅子, 白色/hakebo 米黃色",$574,0 (0)
127,BERNHARD,"椅子, 鍍鉻/mjuk 金啡色","$1,290",0 (0)
128,KARLJAN,"椅子, 湖水綠色/kabusa 湖水綠色",$349,4(1)
129,HELMER/UTESPELARE,"書桌，椅子及抽屜, 黑色","$2,609",0 (0)
130,VOLFGANG,"椅子, 鍍鉻/gunnared 暗灰色",$899,0 (0)
131,BERGMUND,"椅子, 橡木/rommele 深藍色/白色",$698,0 (0)
132,LEIFARNE,"椅子, 淺橄欖綠色/broringe 鍍鉻",$349,4(1)
133,LEIFARNE,"椅子, 淺橄欖綠色/broringe 白色",$349,0 (0)
134,LEIFARNE,"椅子, 淺橄欖綠色/broringe 黑色",$349,4(1)
135,YNGVAR,"椅子, 炭黑色",$799,0 (0)
136,BERGMUND,"椅子, 黑色/fågelfors 彩色",$599,0 (0)
137,BERGMUND,"椅子連中長椅套, 黑色/ryrane 深藍色",$699,0 (0)
138,BERGMUND,"椅子, 黑色/rommele 深藍色/白色",$599,0 (0)
139,BERGMUND,"椅子連中長椅套, 黑色/nolhaga 灰色/米黃色",$699,0 (0)
140,BEKANT/MATCHSPEL,"書桌及椅子, 黑色","$2,980",0 (0)
141,BEKANT/MATCHSPEL,"書桌及椅子, 白色","$2,780",0 (0)
142,BERGMUND,"椅子連中長椅套, 橡木/ryrane 深藍色",$798,0 (0)
143,BERGMUND,"椅子連中長椅套, 橡木/inseros 白色",$798,0 (0)
144,BERGMUND,"椅子連中長椅套, 黑色/inseros 白色",$699,0 (0)
145,BERGMUND,"椅子, 黑色/kvillsfors 深藍色/藍色",$599,0 (0)
146,EKET/BEKANT/MARKUS,"書檯連貯物組合, 和旋轉椅子 白色/染白 深灰色","$4,720",0 (0)
147,LOMMARP/BJÖRKBERGET,"書檯連貯物組合, 和旋轉椅子 藍綠色","$4,879",0 (0)
148,LOMMARP/BJÖRKBERGET,"書檯連貯物組合, 和旋轉椅子 米黃色","$4,879",0 (0)
149,UPPSPEL/MATCHSPEL,"書桌，椅子及抽屜, 黑色","$7,279",0 (0)
150,UPPSPEL/MATCHSPEL,"電競檯，椅子及抽屜, 140x80cm, black","$7,079",0 (0)
151,UTESPELARE/MATCHSPEL,"電競檯，椅子及抽屜, 160x80cm, 黑色","$3,109",0 (0)
152,PÅHL,"書檯, 白色",$499,3(2)
153,SUNDVIK,"兒童椅, 白色",$199.9,5(1)
154,FLISAT,"兒童書檯, 可調校",$699,0 (0)
155,FLISAT,兒童檯,$499,4.5(2)
156,SUNDVIK,"兒童書檯, 白色",$599,0 (0)
157,SUNDVIK,"兒童椅, 灰色",$199.9,0 (0)
158,LÄTT,"兒童檯連兩張椅, 白色/松木",$179.9,0 (0)
159,SUNDVIK,"兒童檯, 白色",$349.9,0 (0)
160,PÅHL,"書檯, 白色/藍色",$499,3(2)
161,PÅHL,"書檯, 白色",$599,0 (0)
162,POÄNG,"兒童扶手椅, 樺木飾面/medskog 恐龍",$450,4(1)
163,KRITTER,"兒童檯, 白色",$269.9,0 (0)
164,FLISAT,"兒童長凳, 可調校",$349,4(1)
165,PÅHL,"書檯連添加組合, 白色",$649,0 (0)
166,SUNDVIK,"兒童檯, 灰色",$349.9,4(1)
167,PÅHL,"書檯, 白色/綠色",$499,0 (0)
168,POÄNG,"兒童扶手椅, 樺木飾面/knisa 淺米黃色",$450,5(1)
169,PÅHL,"書檯, 白色/藍色",$599,0 (0)
170,PÅHL,"書檯連添加組合, 白色/粉紅色",$649,4(1)
171,POÄNG,"兒童扶手椅, 樺木飾面/gisslarp 貓",$450,0 (0)
172,PÅHL,"書檯連添加組合, 白色/藍色",$649,0 (0)
173,PÅHL,"書檯, 白色/粉紅色",$499,5(1)
174,ÖVNING,多功能腳踏,$149.9,0 (0)
175,PÅHL,"書檯連添加組合, 白色/綠色",$649,0 (0)
176,POÄNG,"兒童扶手椅椅墊, gisslarp/貓",$190,0 (0)
177,KRITTER,"兒童椅, 紅色",$159.9,0 (0)
178,IKEA PS LÖMSK,"旋轉扶手椅, 白色/紅色",$549,0 (0)
179,PÅHL,"書檯連添加組合, 白色",$749,0 (0)
180,POÄNG,"兒童扶手椅框, 樺木飾面",$260,0 (0)
181,PÅHL,"書檯, 白色/粉紅色",$599,0 (0)
182,PÅHL,"書檯, 白色/綠色",$599,0 (0)
183,PÅHL,"檯面板架, 白色/綠色",$200,0 (0)
184,PÅHL,"書檯連層板組合, 白色/粉紅色",$699,0 (0)
185,PÅHL,"書檯連層板組合, 白色",$699,0 (0)
186,PÅHL,"書檯連層板組合, 白色/藍色",$699,0 (0)
187,PÅHL,"書檯連層板組合, 白色",$799,0 (0)
188,PÅHL,"書檯連層板組合, 白色/綠色",$699,0 (0)
189,PÅHL,"書檯連層板組合, 白色/粉紅色",$799,0 (0)
190,PÅHL,"書檯連層板組合, 白色/藍色",$799,0 (0)
191,PÅHL,"書檯連添加組合, 白色/粉紅色",$749,0 (0)
192,PÅHL,"書檯連添加組合, 白色/藍色",$749,0 (0)
193,PÅHL,"書檯連層板組合, 白色/綠色",$799,0 (0)
194,PÅHL,"書檯連添加組合, 白色/綠色",$749,0 (0)
195,SMÅSTAD,"書檯, 白色 綠色/附2個抽屜","$1,570",0 (0)
196,SMÅSTAD,"書檯, 白色 樺木/附2個抽屜","$1,570",0 (0)
197,SMÅSTAD,"書檯, 白色 白色/附2個抽屜","$1,570",0 (0)
198,SMÅSTAD,"書檯, 白色 淺湖水綠色/附2個抽屜","$1,570",0 (0)
199,SMÅSTAD,"書檯, 白色 附框/附2個抽屜","$1,570",0 (0)
200,SMÅSTAD,"書檯, 白色 淡粉紅色/附2個抽屜","$1,570",0 (0)
201,SMÅSTAD,"書檯, 白色 灰色/附2個抽屜","$1,570",0 (0)
